Cancer,Feature,Display,Category,Method,Source,Canonical,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,P_label,FDR_label
BLCA,CD4+_Tcm_xCell,CD4+ Tcm,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),CD4TCM,212,219,2.85431884966653e-07,2.54296114770677e-07,-3.11357701959755e-08,0.247261800414156,0.494523600828312,ns,P=0.247,FDR=0.495
BLCA,B_cells_quantiseq,b Cells,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),BCELLS,212,219,0.00491083091188455,0.00563357964936064,0.000722748737476093,0.26781050280797,0.515783190593127,ns,P=0.268,FDR=0.516
BLCA,CD4+_naive_T-cells_xCell,CD4+ Naive t-Cells,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),CD4NAIVETCELLS,212,219,0,0,0,0.279077818165876,0.51828737659377,ns,P=0.279,FDR=0.518
BLCA,CAFs_EPIC,CAFs,TME cell type,EPIC,IOBR::deconvo_tme(method='epic'),CAFS,212,219,0.0899494173728879,0.0749241094959706,-0.0150253078769173,0.299434646195361,0.536917296626164,ns,P=0.299,FDR=0.537
BLCA,CD4+_memory_T-cells_xCell,CD4+ Memory t-Cells,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),CD4MEMORYTCELLS,212,219,4.82701217107055e-25,3.91630881738504e-24,3.43360760027798e-24,0.310628991703981,0.538423585620234,ns,P=0.311,FDR=0.538
BLCA,NK_cells_xCell,NK Cells,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),NKCELLS,212,219,4.34973967996645e-23,7.04062564892322e-23,2.69088596895677e-23,0.385851743745548,0.647235183057048,ns,P=0.386,FDR=0.647
BLCA,Neutrophils_xCell,Neutrophils,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),NEUTROPHILS,212,219,4.72570325257398e-24,0,-4.72570325257398e-24,0.424281582085182,0.689457570888421,ns,P=0.424,FDR=0.689
BLCA,ly_Endothelial_cells_xCell,Ly Endothelial Cells,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),LYENDOTHELIALCELLS,212,219,5.34260125952396e-24,6.00757808690368e-24,6.64976827379712e-25,0.456886391137986,0.71994219209622,ns,P=0.457,FDR=0.72
BLCA,Endothelial_cells_xCell,Endothelial Cells,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),ENDOTHELIALCELLS,212,219,7.58954842209027e-24,6.50054302302131e-24,-1.08900539906897e-24,0.498050915991146,0.7617249303394,ns,P=0.498,FDR=0.762
BLCA,CD8+_Tem_xCell,CD8+ Tem,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),CD8TEM,212,219,1.62390164810118e-23,3.3467473652297e-23,1.72284571712852e-23,0.539559593491019,0.78663403890411,ns,P=0.54,FDR=0.787
BLCA,cDC_xCell,Cdc,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),CDC,212,219,9.93220170043515e-25,7.80725591121806e-25,-2.12494578921709e-25,0.546810922058159,0.78663403890411,ns,P=0.547,FDR=0.787
BLCA,CD8+_T-cells_xCell,CD8+ t-Cells,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),CD8TCELLS,212,219,0,1.16290523872245e-24,1.16290523872245e-24,0.559720373835617,0.78663403890411,ns,P=0.56,FDR=0.787
BLCA,pDC_xCell,Pdc,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),PDC,212,219,8.19028339336835e-25,0,-8.19028339336835e-25,0.602249560035513,0.805869566124074,ns,P=0.602,FDR=0.806
BLCA,CD8+_naive_T-cells_xCell,CD8+ Naive t-Cells,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),CD8NAIVETCELLS,212,219,7.84012283668083e-26,0,-7.84012283668083e-26,0.604402174593055,0.805869566124074,ns,P=0.604,FDR=0.806
BLCA,Dendritic_cells_quantiseq,Dendritic Cells,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),DENDRITICCELLS,212,219,0.00867833317135317,0.00766304772459836,-0.00101528544675481,0.649309090363384,0.837209168597173,ns,P=0.649,FDR=0.837
BLCA,Fibroblasts_xCell,Fibroblasts,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),FIBROBLASTS,212,219,3.98682072968096e-22,5.05231946741075e-22,1.06549873772979e-22,0.660107229086233,0.837209168597173,ns,P=0.66,FDR=0.837
BLCA,Monocytes_quantiseq,Monocytes,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),MONOCYTES,212,219,0,0,0,0.763263608936672,0.921545936051101,ns,P=0.763,FDR=0.922
BLCA,aDC_xCell,Adc,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),ADC,212,219,0,0,0,0.776713492836383,0.921545936051101,ns,P=0.777,FDR=0.922
