Cancer,Feature,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Direction,Category,Row,EffectPlot,SigLabel
SKCM,Epigenetic alterations,234,235,-0.0712839723803343,0.187738278718243,0.259022251098577,0.0100142261968535,0.0150213392952802,Higher in High,Genome maintenance,10,0.259022251098577,*
STAD,Epigenetic alterations,187,188,-0.0272610937105542,0.178710947622484,0.205972041333039,0.022577948786847,0.045155897573694,Higher in High,Genome maintenance,10,0.205972041333039,*
TGCT,Epigenetic alterations,75,75,-0.0561492552743507,0.444923675205415,0.501072930479765,0.0110567522195804,0.0165851283293707,Higher in High,Genome maintenance,10,0.501072930479765,*
THCA,Epigenetic alterations,252,252,-0.258715079629424,0.198113719636576,0.456828799266,5.40662922193288e-06,1.16605381533509e-05,Higher in High,Genome maintenance,10,0.456828799266,***
THYM,Epigenetic alterations,60,60,-0.217055705114717,0.485915647844049,0.702971352958766,0.00433583648858611,0.0104060075726067,Higher in High,Genome maintenance,10,0.702971352958766,*
UCEC,Epigenetic alterations,272,273,-0.135299252102598,0.135302721858833,0.270601973961431,0.0026941580349619,0.00404123705244285,Higher in High,Genome maintenance,10,0.270601973961431,**
UCS,Epigenetic alterations,28,29,0.121208244550508,-0.123637434461972,-0.24484567901248,0.223923640231252,0.298564853641669,Lower in High,Genome maintenance,10,-0.24484567901248,""
UVM,Epigenetic alterations,40,40,0.232128666933674,0.116543083485221,-0.115585583448453,0.741275357210273,0.741275357210273,Lower in High,Genome maintenance,10,-0.115585583448453,""
ACC,Loss of proteostasis,39,40,-0.178733326194846,-0.00634428776239551,0.172389038432451,0.137997044194332,0.206995566291498,Higher in High,Proteostasis / metabolism,9,0.172389038432451,""
BLCA,Loss of proteostasis,203,203,-0.236550245422012,0.282674513220407,0.51922475864242,1.49822727930099e-07,3.59574547032236e-07,Higher in High,Proteostasis / metabolism,9,0.51922475864242,***
BRCA,Loss of proteostasis,547,548,0.133030481253912,0.0623664791362921,-0.0706640021176196,0.0180213202410751,0.0216255842892902,Lower in High,Proteostasis / metabolism,9,-0.0706640021176196,*
CESC,Loss of proteostasis,152,152,0.0524753208314759,-0.0567116975066494,-0.109187018338125,0.178281239387428,0.178281239387428,Lower in High,Proteostasis / metabolism,9,-0.109187018338125,""
CHOL,Loss of proteostasis,17,18,0.27024896817642,-0.444812241006225,-0.715061209182645,0.0139088024395625,0.0834528146373752,Lower in High,Proteostasis / metabolism,9,-0.715061209182645,""
COAD,Loss of proteostasis,228,228,0.0842152039476468,-0.0555584002285642,-0.139773604176211,0.0480570320338097,0.0823834834865309,Lower in High,Proteostasis / metabolism,9,-0.139773604176211,""
DLBC,Loss of proteostasis,24,24,0.0745804245132712,0.193189658872413,0.118609234359141,0.291171026407298,0.388228035209731,Higher in High,Proteostasis / metabolism,9,0.118609234359141,""
