Cancer	Feature	P	FDR	Significance	P_label	FDR_label
PAAD	Mitochondrial dysfunction	8.77844320317921e-06	5.04517792288046e-05	****	P < 0.001	P < 0.001
PAAD	Cellular senescence	1.26129448072012e-05	5.04517792288046e-05	****	P < 0.001	P < 0.001
PAAD	Stem cell exhaustion	0.178931567276058	0.21471788073127	ns	P = 0.179	P = 0.215
PAAD	Altered intercellular communication	0.0166532812039515	0.033306562407903	*	P = 0.0167	P = 0.0333
PAAD	Chronic inflammation	0.164346977425583	0.21471788073127	ns	P = 0.164	P = 0.215
PAAD	Extracellular matrix changes	0.762227363616496	0.795697652268783	ns	P = 0.762	P = 0.796
PCPG	Genomic instability	3.02242977651179e-06	1.66630639723362e-05	****	P < 0.001	P < 0.001
PCPG	Telomere attrition	0.000206045535145568	0.000618136605436704	***	P < 0.001	P < 0.001
PCPG	Epigenetic alterations	0.205853384804875	0.411706769609751	ns	P = 0.206	P = 0.412
PCPG	Loss of proteostasis	0.0165773518653631	0.0397856444768714	*	P = 0.0166	P = 0.0398
PCPG	Disabled macroautophagy	4.16576599308405e-06	1.66630639723362e-05	****	P < 0.001	P < 0.001
PCPG	Deregulated nutrient sensing	0.301017365055309	0.451526047582963	ns	P = 0.301	P = 0.452
PCPG	Mitochondrial dysfunction	3.11629372640396e-08	3.73955247168475e-07	****	P < 0.001	P < 0.001
PCPG	Cellular senescence	0.438570881127328	0.526285057352793	ns	P = 0.439	P = 0.526
PCPG	Stem cell exhaustion	0.251477867491735	0.431104915700116	ns	P = 0.251	P = 0.431
PCPG	Altered intercellular communication	0.776282052356837	0.776282052356837	ns	P = 0.776	P = 0.776
PCPG	Chronic inflammation	0.346225515819141	0.461634021092188	ns	P = 0.346	P = 0.462
PCPG	Extracellular matrix changes	0.596536246149922	0.650766813981733	ns	P = 0.597	P = 0.651
PRAD	Genomic instability	8.86112028542132e-16	5.31667217125279e-15	****	P < 0.001	P < 0.001
PRAD	Telomere attrition	0.0447761403455349	0.0597015204607132	ns	P = 0.0448	P = 0.0597
PRAD	Epigenetic alterations	0.000989233647624176	0.00197846729524835	**	P < 0.001	P = 0.00198
PRAD	Loss of proteostasis	1.00587475434655e-13	4.02349901738622e-13	****	P < 0.001	P < 0.001
PRAD	Disabled macroautophagy	0.358971078361781	0.391604812758306	ns	P = 0.359	P = 0.392
PRAD	Deregulated nutrient sensing	0.000212767409944491	0.000510641783866778	***	P < 0.001	P < 0.001
PRAD	Mitochondrial dysfunction	2.8693153120065e-25	3.4431783744078e-24	****	P < 0.001	P < 0.001
PRAD	Cellular senescence	1.43696272000738e-10	4.31088816002214e-10	****	P < 0.001	P < 0.001
PRAD	Stem cell exhaustion	0.0135252244237151	0.0231860990120831	*	P = 0.0135	P = 0.0232
PRAD	Altered intercellular communication	0.0415514448073018	0.0597015204607132	ns	P = 0.0416	P = 0.0597
PRAD	Chronic inflammation	0.192874006712235	0.231448808054682	ns	P = 0.193	P = 0.231
PRAD	Extracellular matrix changes	0.947952671816107	0.947952671816107	ns	P = 0.948	P = 0.948
READ	Genomic instability	8.67818148937091e-11	1.04138177872451e-09	****	P < 0.001	P < 0.001
