Cancer,Sample,Sample_key,Feature,Value,Group,Feature_Display
ACC,TCGA-OR-A5K0-01A-11R-A29S-07,TCGA-OR-A5K0-01A,StromalScore,-1317.92261940232,High,StromalScore
ACC,TCGA-OR-A5K0-01A-11R-A29S-07,TCGA-OR-A5K0-01A,ImmuneScore,-497.09757544566,High,ImmuneScore
ACC,TCGA-OR-A5K0-01A-11R-A29S-07,TCGA-OR-A5K0-01A,ESTIMATEScore,-1815.02019484798,High,ESTIMATEScore
ACC,TCGA-OR-A5K0-01A-11R-A29S-07,TCGA-OR-A5K0-01A,TumorPurity,0.943232816141948,High,TumorPurity
ACC,TCGA-OR-A5J3-01A-11R-A29S-07,TCGA-OR-A5J3-01A,StromalScore,-1058.89412953456,Low,StromalScore
ACC,TCGA-OR-A5J3-01A-11R-A29S-07,TCGA-OR-A5J3-01A,ImmuneScore,-594.588706179299,Low,ImmuneScore
ACC,TCGA-OR-A5J3-01A-11R-A29S-07,TCGA-OR-A5J3-01A,ESTIMATEScore,-1653.48283571386,Low,ESTIMATEScore
ACC,TCGA-OR-A5J3-01A-11R-A29S-07,TCGA-OR-A5J3-01A,TumorPurity,0.935092942444058,Low,TumorPurity
ACC,TCGA-OR-A5KT-01A-11R-A29S-07,TCGA-OR-A5KT-01A,StromalScore,476.846364518185,Low,StromalScore
ACC,TCGA-OR-A5KT-01A-11R-A29S-07,TCGA-OR-A5KT-01A,ImmuneScore,1160.33314769305,Low,ImmuneScore
ACC,TCGA-OR-A5KT-01A-11R-A29S-07,TCGA-OR-A5KT-01A,ESTIMATEScore,1637.17951221124,Low,ESTIMATEScore
ACC,TCGA-OR-A5KT-01A-11R-A29S-07,TCGA-OR-A5KT-01A,TumorPurity,0.663502250370302,Low,TumorPurity
ACC,TCGA-OR-A5JY-01A-31R-A29S-07,TCGA-OR-A5JY-01A,StromalScore,-832.921885093121,High,StromalScore
ACC,TCGA-OR-A5JY-01A-31R-A29S-07,TCGA-OR-A5JY-01A,ImmuneScore,160.906619344514,High,ImmuneScore
ACC,TCGA-OR-A5JY-01A-31R-A29S-07,TCGA-OR-A5JY-01A,ESTIMATEScore,-672.015265748607,High,ESTIMATEScore
ACC,TCGA-OR-A5JY-01A-31R-A29S-07,TCGA-OR-A5JY-01A,TumorPurity,0.874523856238131,High,TumorPurity
ACC,TCGA-OR-A5LE-01A-11R-A29S-07,TCGA-OR-A5LE-01A,StromalScore,-1513.74564251531,High,StromalScore
ACC,TCGA-OR-A5LE-01A-11R-A29S-07,TCGA-OR-A5LE-01A,ImmuneScore,-1071.29129576256,High,ImmuneScore
ACC,TCGA-OR-A5LE-01A-11R-A29S-07,TCGA-OR-A5LE-01A,ESTIMATEScore,-2585.03693827787,High,ESTIMATEScore
ACC,TCGA-OR-A5LE-01A-11R-A29S-07,TCGA-OR-A5LE-01A,TumorPurity,0.97467488169118,High,TumorPurity
ACC,TCGA-PK-A5H8-01A-11R-A29S-07,TCGA-PK-A5H8-01A,StromalScore,-755.467230858077,High,StromalScore
ACC,TCGA-PK-A5H8-01A-11R-A29S-07,TCGA-PK-A5H8-01A,ImmuneScore,9.05424833077217,High,ImmuneScore
ACC,TCGA-PK-A5H8-01A-11R-A29S-07,TCGA-PK-A5H8-01A,ESTIMATEScore,-746.412982527305,High,ESTIMATEScore
ACC,TCGA-PK-A5H8-01A-11R-A29S-07,TCGA-PK-A5H8-01A,TumorPurity,0.879767961637131,High,TumorPurity
ACC,TCGA-OR-A5JE-01A-11R-A29S-07,TCGA-OR-A5JE-01A,StromalScore,-569.566037637144,High,StromalScore
ACC,TCGA-OR-A5JE-01A-11R-A29S-07,TCGA-OR-A5JE-01A,ImmuneScore,134.887783272092,High,ImmuneScore
ACC,TCGA-OR-A5JE-01A-11R-A29S-07,TCGA-OR-A5JE-01A,ESTIMATEScore,-434.678254365052,High,ESTIMATEScore
ACC,TCGA-OR-A5JE-01A-11R-A29S-07,TCGA-OR-A5JE-01A,TumorPurity,0.857100643370333,High,TumorPurity
ACC,TCGA-OR-A5KX-01A-11R-A29S-07,TCGA-OR-A5KX-01A,StromalScore,-1148.1748670777,High,StromalScore
ACC,TCGA-OR-A5KX-01A-11R-A29S-07,TCGA-OR-A5KX-01A,ImmuneScore,-343.6291699761,High,ImmuneScore
ACC,TCGA-OR-A5KX-01A-11R-A29S-07,TCGA-OR-A5KX-01A,ESTIMATEScore,-1491.8040370538,High,ESTIMATEScore
ACC,TCGA-OR-A5KX-01A-11R-A29S-07,TCGA-OR-A5KX-01A,TumorPurity,0.92641952098807,High,TumorPurity
ACC,TCGA-OR-A5JA-01A-11R-A29S-07,TCGA-OR-A5JA-01A,StromalScore,-1161.52530851879,High,StromalScore
ACC,TCGA-OR-A5JA-01A-11R-A29S-07,TCGA-OR-A5JA-01A,ImmuneScore,-199.598882216371,High,ImmuneScore
ACC,TCGA-OR-A5JA-01A-11R-A29S-07,TCGA-OR-A5JA-01A,ESTIMATEScore,-1361.12419073517,High,ESTIMATEScore
ACC,TCGA-OR-A5JA-01A-11R-A29S-07,TCGA-OR-A5JA-01A,TumorPurity,0.919027532921329,High,TumorPurity
ACC,TCGA-OR-A5J6-01A-31R-A29S-07,TCGA-OR-A5J6-01A,StromalScore,-495.132232618013,Low,StromalScore
ACC,TCGA-OR-A5J6-01A-31R-A29S-07,TCGA-OR-A5J6-01A,ImmuneScore,607.89402966402,Low,ImmuneScore
ACC,TCGA-OR-A5J6-01A-31R-A29S-07,TCGA-OR-A5J6-01A,ESTIMATEScore,112.761797046007,Low,ESTIMATEScore
ACC,TCGA-OR-A5J6-01A-31R-A29S-07,TCGA-OR-A5J6-01A,TumorPurity,0.812983090484598,Low,TumorPurity
ACC,TCGA-OR-A5JX-01A-11R-A29S-07,TCGA-OR-A5JX-01A,StromalScore,-697.303128514888,Low,StromalScore
ACC,TCGA-OR-A5JX-01A-11R-A29S-07,TCGA-OR-A5JX-01A,ImmuneScore,-118.009869301981,Low,ImmuneScore
