Cancer,Feature,Display,Method,Source,Canonical,Low,High,P,FDR,Z_Effect,PlotEffect,Significance,Direction,Feature_Label,Feature_Main_Label,OrderEffect
BLCA,mv_Endothelial_cells_xCell,Mv Endothelial Cells,xCell,IOBR::deconvo_tme(method='xcell'),MVENDOTHELIALCELLS,-0.478167440762904,-0.270700983010618,0.835450842019503,0.962569051826212,0.207466457752286,0.207466457752286,"",Higher in High,"Mv Endothelial Cells
(xCell)",Mv Endothelial Cells,0
BLCA,Eosinophils_xCell,Eosinophils,xCell,IOBR::deconvo_tme(method='xcell'),EOSINOPHILS,-0.544567175677243,-0.638759062585804,0.851503392000111,0.962569051826212,-0.0941918869085602,-0.0941918869085602,"",Higher in Low,"Eosinophils
(xCell)",Eosinophils,0
BLCA,Endothelial_cells_MCPcounter,Endothelial Cells,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,-0.295594492809343,-0.314304092139363,0.957127926549789,0.991359854502222,-0.0187095993300194,-0.0187095993300194,"",Higher in Low,"Endothelial Cells
(MCP-counter)",Endothelial Cells,0
BLCA,Macrophages_EPIC,Macrophages,EPIC,IOBR::deconvo_tme(method='epic'),MACROPHAGES,-0.625749515605554,-0.599948887025338,0.975625913139349,0.991359854502222,0.0258006285802158,0.0258006285802158,"",Higher in High,"Macrophages
(EPIC)",Macrophages,0
BLCA,Macrophages_M2_quantiseq,Macrophages M2,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),MACROPHAGESM2,-0.728916267766649,-0.757752622918155,0.991359854502222,0.991359854502222,-0.0288363551515055,-0.0288363551515055,"",Higher in Low,"Macrophages M2
(quanTIseq)",Macrophages M2,0
BRCA,Neutrophils_MCPcounter,Neutrophils,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),NEUTROPHILS,0.137007772777177,0.637032122294016,9.22270661538253e-17,4.79580743999892e-15,0.500024349516839,0.500024349516839,****,Higher in High,"Neutrophils
(MCP-counter)",Neutrophils,0.500024349516839
BRCA,Dendritic_cells_quantiseq,Dendritic Cells,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),DENDRITICCELLS,-0.301688449697558,-0.152860082281164,2.62628037498678e-12,6.82832897496562e-11,0.148828367416394,0.148828367416394,****,Higher in High,"Dendritic Cells
(quanTIseq)",Dendritic Cells,0.148828367416394
BRCA,B_cells_quantiseq,B cells,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),BCELLS,-0.141175040913267,-0.106686622474781,1.51409007537774e-10,2.62442279732142e-09,0.0344884184384858,0.0344884184384858,****,Higher in High,"B cells
(quanTIseq)",B cells,0.0344884184384858
BRCA,CD4_Tcells_EPIC,CD4 T cells,EPIC,IOBR::deconvo_tme(method='epic'),CD4TCELLS,-0.278743897871501,0.130243943585884,9.4479462988211e-09,1.22823301884674e-07,0.408987841457385,0.408987841457385,****,Higher in High,"CD4 T cells
(EPIC)",CD4 T cells,0.408987841457385
BRCA,NK_cells_quantiseq,NK Cells,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),NKCELLS,-0.515571926547244,-0.410759245963772,1.72912225896225e-07,1.49857262443395e-06,0.104812680583471,0.104812680583471,****,Higher in High,"NK Cells
(quanTIseq)",NK Cells,0.104812680583471
BRCA,CD8_Tcells_EPIC,CD8 T cells,EPIC,IOBR::deconvo_tme(method='epic'),CD8TCELLS,-0.337766852205695,-0.331317312187266,4.09923094235649e-06,3.04514298575054e-05,0.00644954001842879,0.00644954001842879,****,Higher in High,"CD8 T cells
(EPIC)",CD8 T cells,0.00644954001842879
BRCA,Plasma_cells_xCell,Plasma Cells,xCell,IOBR::deconvo_tme(method='xcell'),PLASMACELLS,0.917791330734373,0.408535753729837,6.32831299161133e-06,4.11340344454736e-05,-0.509255577004536,-0.509255577004536,****,Higher in Low,"Plasma Cells
(xCell)",Plasma Cells,-0.509255577004536
BRCA,NKT_xCell,NKt,xCell,IOBR::deconvo_tme(method='xcell'),NKT,3.85263145523152,-0.330679360138407,6.74609343769052e-05,0.000389774287511008,-4.18331081536993,-2.5,***,Higher in Low,"NKt
(xCell)",NKt,-2.5
BRCA,CD4+_Tem_xCell,CD4+ Tem,xCell,IOBR::deconvo_tme(method='xcell'),CD4TEM,0.93332082536021,0.383909583243352,9.36129217495242e-05,0.000486787193097526,-0.549411242116858,-0.549411242116858,***,Higher in Low,"CD4+ Tem
(xCell)",CD4+ Tem,-0.549411242116858
BRCA,Macrophages_M1_quantiseq,Macrophages M1,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),MACROPHAGESM1,-0.139830481240698,0.0244956919483621,0.00105150711770308,0.00420602847081231,0.16432617318906,0.16432617318906,**,Higher in High,"Macrophages M1
(quanTIseq)",Macrophages M1,0.16432617318906
BRCA,cDC_xCell,Cdc,xCell,IOBR::deconvo_tme(method='xcell'),CDC,-0.565528467283195,-0.663207855881914,0.00313959699649887,0.0116613602727101,-0.0976793885987195,-0.0976793885987195,*,Higher in Low,"Cdc
(xCell)",Cdc,-0.0976793885987195
BRCA,Endothelial_EPIC,Endothelial,EPIC,IOBR::deconvo_tme(method='epic'),ENDOTHELIAL,-0.0321495046437046,-0.207042309518545,0.00647961667100681,0.0224626711261569,-0.17489280487484,-0.17489280487484,*,Higher in Low,"Endothelial
(EPIC)",Endothelial,-0.17489280487484
BRCA,CAFs_EPIC,CAFs,EPIC,IOBR::deconvo_tme(method='epic'),CAFS,1.51615157221565,1.10564618208507,0.0133367219766696,0.0433443464241763,-0.41050539013058,-0.41050539013058,*,Higher in Low,"CAFs
(EPIC)",CAFs,-0.41050539013058
BRCA,Macrophages_EPIC,Macrophages,EPIC,IOBR::deconvo_tme(method='epic'),MACROPHAGES,-0.242716435794787,-0.360092750191912,0.0154674487289475,0.0473121961120747,-0.117376314397125,-0.117376314397125,*,Higher in Low,"Macrophages
(EPIC)",Macrophages,-0.117376314397125
BRCA,CD4+_memory_T-cells_xCell,CD4+ Memory t-Cells,xCell,IOBR::deconvo_tme(method='xcell'),CD4MEMORYTCELLS,-0.517739151635458,0.995791381820701,0.0432434050890397,0.124925392479448,1.51353053345616,1.51353053345616,"",Higher in High,"CD4+ Memory t-Cells
(xCell)",CD4+ Memory t-Cells,0
BRCA,Monocytes_quantiseq,Monocytes,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),MONOCYTES,-0.264624772172632,-0.264624772172632,0.0769862703230962,0.206737479885184,0,0,"",Higher in High,"Monocytes
(quanTIseq)",Monocytes,0
