Cancer,Feature,Display,Method,Feature_Label,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,NegLogFDR,SignedNegLogFDR,SignedNegLogFDR_cap,Direction
PCPG,Dysfunction,Dysfunction,TIDEpy,T-cell dysfunction,89,90,0.0277755567407403,0.0259574585854648,-0.00181809815527555,0.904700697910912,0.904700697910912,"",0.0434950746565079,-0.0434950746565079,-0.0434950746565079,NS
PRAD,Dysfunction,Dysfunction,TIDEpy,T-cell dysfunction,248,249,-0.211261044553937,-0.27696664907369,-0.065705604519753,2.27564612196907e-20,1.13782306098453e-19,****,18.9439252683562,-18.9439252683562,-6,Low
PRAD,Tregs_quantiseq,Tregs,quanTIseq,Tregs,274,279,0.00697133071704932,0.0113020838920995,0.00433075317505017,4.49049230536475e-08,1.12262307634119e-07,****,6.9497660347828,6.9497660347828,6,High
PRAD,Tregs_xCell,Tregs,xCell,Tregs (xCell),274,279,9.89323077948833e-24,0,-9.89323077948833e-24,0.00792568352207538,0.0132094725367923,*,1.8791145237128,-1.8791145237128,-1.8791145237128,Low
PRAD,MDSC,MDSC,TIDEpy,MDSC,248,249,0.0302645275658738,0.0319677075442656,0.0017031799783918,0.0479973464244951,0.0599966830306189,"",1.22187275930501,1.22187275930501,1.22187275930501,NS
PRAD,TAM M2,TAM M2,TIDEpy,TAM M2,248,249,0.0142849170046146,0.0146555400888989,0.000370623084284301,0.783667877196269,0.783667877196269,"",0.10586795474072,0.10586795474072,0.10586795474072,NS
READ,Dysfunction,Dysfunction,TIDEpy,T-cell dysfunction,83,83,-0.15330068167541,-0.234234557669129,-0.080933875993719,5.17084922303107e-10,2.58542461151553e-09,****,8.5874681213149,-8.5874681213149,-6,Low
READ,MDSC,MDSC,TIDEpy,MDSC,83,83,0.0398668547685494,0.0491077169613495,0.0092408621928001,6.42770730699987e-06,1.60692682674997e-05,****,4.79400389888211,4.79400389888211,4.79400389888211,High
READ,Tregs_xCell,Tregs,xCell,Tregs (xCell),89,87,4.63438058997226e-23,0,-4.63438058997226e-23,0.0145485877163532,0.024247646193922,*,1.61533041354032,-1.61533041354032,-1.61533041354032,Low
READ,Tregs_quantiseq,Tregs,quanTIseq,Tregs,89,87,0.015638397734654,0.0196500576047093,0.00401165987005529,0.0232325646088688,0.0290407057610861,*,1.536992833412,1.536992833412,1.536992833412,High
READ,TAM M2,TAM M2,TIDEpy,TAM M2,83,83,0.00682637569206008,0.00700062306018072,0.00017424736812064,0.430677703972499,0.430677703972499,"",0.365847610922219,0.365847610922219,0.365847610922219,NS
SARC,Dysfunction,Dysfunction,TIDEpy,T-cell dysfunction,129,130,0.0157936302090338,-0.101408656438564,-0.117202286647598,3.02528114716671e-14,1.51264057358336e-13,****,12.8202642546955,-12.8202642546955,-6,Low
SARC,MDSC,MDSC,TIDEpy,MDSC,129,130,0.0169709938616276,0.0366132105990815,0.0196422167374539,3.32902996015865e-13,8.32257490039663e-13,****,12.0797422876483,12.0797422876483,6,High
SARC,TAM M2,TAM M2,TIDEpy,TAM M2,129,130,0.00220214326258456,0.00618100133049062,0.00397885806790605,0.00693464074524647,0.0115577345754108,*,1.93712728337353,1.93712728337353,1.93712728337353,High
SARC,Tregs_xCell,Tregs,xCell,Tregs (xCell),130,135,0,6.57475704300964e-25,6.57475704300964e-25,0.14748010185137,0.184350127314213,"",0.734356558129245,0.734356558129245,0.734356558129245,NS
