Cancer,DrugKey,Spearman_N,Spearman_Rho,Spearman_P,Spearman_FDR,DrugName,DrugID,PutativeTarget,PathwayName,N_CellLines_GDSC2,Median_LN_IC50,IsPriorityDrug
TGCT,Drug_1190__GEMCITABINE,150,0.270975598915507,0.000796598723207599,0.00343150219227889,Gemcitabine,1190,Pyrimidine antimetabolite,DNA replication,959,-1.053316,TRUE
TGCT,Drug_1259__TALAZOPARIB,150,-0.0951277834570426,0.246882672760549,0.329176897014066,Talazoparib,1259,"PARP1, PARP2",Genome integrity,955,3.161281,TRUE
TGCT,Drug_1372__TRAMETINIB,150,0.327205653584604,4.37001031275123e-05,0.000349600825020098,Trametinib,1372,"MEK1, MEK2",ERK MAPK signaling,965,0.540507,TRUE
TGCT,Drug_1441__AZD2014,150,-0.277240766256278,0.000593279938123363,0.00302033423044621,AZD2014,1441,"mTORC1, mTORC2",PI3K/MTOR signaling,717,2.014818,TRUE
TGCT,Drug_1553__UPROSERTIB,150,-0.0353526823414374,0.667564931093466,0.718916079639118,Uprosertib,1553,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,897,2.9051,TRUE
TGCT,Drug_1560__ALPELISIB,150,-0.000144006400284457,0.9986045351727,0.9986045351727,Alpelisib,1560,PI3Kalpha,PI3K/MTOR signaling,964,3.3928615,TRUE
TGCT,Drug_1561__TASELISIB,150,0.314728654606871,8.76221557601196e-05,0.000613355090320837,Taselisib,1561,PI3K (beta sparing),PI3K/MTOR signaling,965,1.901128,TRUE
TGCT,Drug_1594__OSI_027,150,-0.0245255344681986,0.765773940662732,0.809119635417227,OSI-027,1594,"MTORC1, MTORC2",PI3K/MTOR signaling,959,2.511485,TRUE
TGCT,Drug_1613__VE_822,150,0.055798035468243,0.497647816146588,0.580589118837686,VE-822,1613,ATR,Genome integrity,893,3.125544,TRUE
TGCT,Drug_1615__CZC24832,150,-0.179088848393262,0.0283223407481889,0.0755262419951703,CZC24832,1615,PI3Kgamma,PI3K/MTOR signaling,893,5.183793,TRUE
TGCT,Drug_1736__SELUMETINIB,150,0.100678252366772,0.220253629438584,0.308355081214018,Selumetinib,1736,"MEK1, MEK2",ERK MAPK signaling,717,4.214499,TRUE
TGCT,Drug_1778__GSK2110183B,150,-0.180674696653185,0.0269297709928968,0.075403358780111,GSK2110183B,1778,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,717,3.505438,TRUE
TGCT,Drug_1806__OXALIPLATIN,150,-0.110481354726877,0.178328509010828,0.269902608232605,Oxaliplatin,1806,DNA alkylating agent,DNA replication,717,5.185118,TRUE
TGCT,Drug_1819__DOCETAXEL,150,-0.268006578070137,0.000913774102054968,0.00365509640821987,Docetaxel,1819,Microtubule stabiliser,Mitosis,670,-2.538492,TRUE
TGCT,Drug_1873__BUPARLISIB,150,-0.328883950397796,3.97032814878469e-05,0.000349600825020098,Buparlisib,1873,"PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma",PI3K/MTOR signaling,957,0.993008,TRUE
TGCT,Drug_1912__AFURESERTIB,150,-0.095934930441353,0.242877433794709,0.329176897014066,Afuresertib,1912,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,956,2.4131465,TRUE
TGCT,Drug_1916__AZD5363,150,-0.14622338770612,0.0741816078657726,0.138472334682776,AZD5363,1916,"AKT1, AKT2, AKT3, ROCK2","Other, kinases",957,2.858666,TRUE
TGCT,Drug_1917__AZD6738,150,-0.157704786879417,0.0539294987754337,0.110058438480207,AZD6738,1917,ATR,Genome integrity,957,1.970669,TRUE
TGCT,Drug_1918__AZD8186,150,0.0908573714387306,0.268834337839199,0.350109835325469,AZD8186,1918,"PI3Kalpha, PI3Kbeta",PI3K/MTOR signaling,957,3.162977,TRUE
TGCT,Drug_1919__OSIMERTINIB,150,-0.105755811369394,0.197739415558076,0.289854881076913,Osimertinib,1919,EGFR,EGFR signaling,956,1.722364,TRUE
TGCT,Drug_1924__IPATASERTIB,150,-0.27163696164274,0.000772452954028293,0.00343150219227889,Ipatasertib,1924,"AKT1, AKT, AKT3",PI3K/MTOR signaling,957,3.487847,TRUE
TGCT,Drug_1926__GNE_317,150,-0.166853637939464,0.0412741734309335,0.0963064046721782,GNE-317,1926,PI3Kalpha,PI3K/MTOR signaling,943,0.556985,TRUE
TGCT,Drug_2045__AMG_319,150,-0.0432925907818125,0.598863921943182,0.657576071153297,AMG-319,2045,PI3K (beta sparing),PI3K/MTOR signaling,949,4.924722,TRUE
TGCT,Drug_2046__MK_8776,150,-0.122769900884484,0.134469382825173,0.221478983476756,MK-8776,2046,"CHEK1, CHEK2, CDK2",Cell cycle,951,3.187491,TRUE
TGCT,Drug_2106__UPROSERTIB,150,-0.226621627627895,0.0052920858911857,0.01852230061915,Uprosertib,2106,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,736,2.7050635,TRUE
