Cancer,DrugKey,Comparison,Test,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Sensitive_Group,Drug_Value_Label,DrugName,DrugID,PutativeTarget,PathwayName,N_CellLines_GDSC2,Median_LN_IC50,IsPriorityDrug
CHOL,Drug_1924__IPATASERTIB,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,5.9317320265156,5.98191120971311,0.0501791831975078,0.70778081820995,0.966725019994078,Low,log2_predicted_IC50,Ipatasertib,1924,"AKT1, AKT, AKT3",PI3K/MTOR signaling,957,3.487847,TRUE
CHOL,Drug_1926__GNE_317,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,0.866477131906403,0.758323259311716,-0.108153872594687,0.50344650310613,0.917992279520064,High,log2_predicted_IC50,GNE-317,1926,PI3Kalpha,PI3K/MTOR signaling,943,0.556985,TRUE
CHOL,Drug_2045__AMG_319,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,7.65830467791407,7.73644874607819,0.0781440681641215,0.524567016868608,0.917992279520064,Low,log2_predicted_IC50,AMG-319,2045,PI3K (beta sparing),PI3K/MTOR signaling,949,4.924722,TRUE
CHOL,Drug_2046__MK_8776,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,5.39526602236225,5.54929479379543,0.154028771433176,0.404756973705946,0.917992279520064,Low,log2_predicted_IC50,MK-8776,2046,"CHEK1, CHEK2, CDK2",Cell cycle,951,3.187491,TRUE
CHOL,Drug_2106__UPROSERTIB,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,5.27592109601481,5.13085519259006,-0.145065903424759,0.961028557667895,1,High,log2_predicted_IC50,Uprosertib,2106,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,736,2.7050635,TRUE
CHOL,Drug_2107__LJI308,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,8.05845530126801,7.97165151658261,-0.0868037846854071,0.659844088936063,0.966725019994078,High,log2_predicted_IC50,LJI308,2107,"RSK2, RSK1, RSK3",PI3K/MTOR signaling,953,5.019894,TRUE
CHOL,Drug_2111__VE821,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,6.92338491466849,6.94208943457569,0.0187045199071978,0.546120666652761,0.926750222198624,Low,log2_predicted_IC50,VE821,2111,ATR,Genome integrity,950,3.9402775,TRUE
CHOL,Drug_2169__AZD6482,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,4.97381710716806,5.25980011645336,0.2859830092853,0.000624797296410556,0.0349886485989912,Low,log2_predicted_IC50,AZD6482,2169,PI3Kbeta,PI3K/MTOR signaling,266,3.3943365,TRUE
CHOL,Drug_2170__AT13148,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,5.68961958705714,5.60061988771014,-0.0889996993469993,0.832280522803886,1,High,log2_predicted_IC50,AT13148,2170,AKT1,PI3K/MTOR signaling,953,3.438764,TRUE
CHOL,Drug_2360__THR_101,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,7.96923293100971,8.0029289915399,0.0336960605301906,0.70778081820995,0.966725019994078,Low,log2_predicted_IC50,THR-101,2360,Mutant RAS,PI3K/MTOR signaling,731,5.193065,TRUE
